"Amaurochaetaceae RoSTAFINsKI, 1873, "	p. 8)]  Sporangia combined to form aethalium.  Rec.  
"Botellina CARPENTER, JEFFREYS & THOMSON, 1870, "	"   ""280, p. 443 f""B. labyri111!1ica BRADY, 1881; SD rnn.)]. T est elongate, cdindrical, with bulbous (SM) BRADY, 188 1, *196c, p. 481 [=Arhote/111 111 proloculus and undi,?ided tubul ar later portion RHUMBLER, 1913, *1572b, p. 35] (obj.) (110111 . nearly filled with arenaceous, labyrinthic mate- (p. Cl 90-Cl94).   Cl92 Protista-Sarcodina  rial; may exhibit irregular growth constnct10ns; wall agglutinated, composed of sand grains and sponge spicules with comparatively little cement, rather smoothly finished inside of initial bulbous portion, but very rough, labyrinthic, and thick in tubular portion; apertures consisting of very slightly constricted open end of tube. Rec., Atl..Pac.-Antarctic.--F1c. 107,1-3. ? B. labyrinthica, N.Atl.(Faroe Channel); 1-3, ext. view, long. sec., apert. view (all syntypes), X8 (*2117).  "
"Halyphysema BOWERBANK, 1862, "	"?183, p. 1105 [*H. tumanowiczii; OD (M)] [=Gastrophysema HAECKEL, 1877, *849, p. 4, 8, 24 (type, Squamtt.!ina scapula CARTER, 1877, *290, p. 311) (nom. subst. pro Halyphysema tumanowiczii BowERBA:<K, 1862) SD LoEBLICH & TAPPAN, here.in (obj.); Haliphysema HAECKEL, 1877, *849, p. 1 ( nom. van.); Arhaliphysemum RHUMBLER, 1913, *1572b, p. 352 (nom. van.)]. Test attached, with internally subdivided, spreading basal ex.pansion and later erect conical or clavate chamber, which is tubular and even bifurcating in some species; wall agglutinated, that of basal expansion fine-grained and may include fragments of sponge spicules, erect portion with sand, other forarnini.feral tests, or numerous elongate sponge spicules oriented in direction of test growth; aperture ter.minal and rounded, may be obscured by cluster of spicules; pseudopodia! network with pro.nounced graunlar streaming, many nuclei. Rec., Atl.-Carib.-Pac.--F1c. 108,6,7. *H. t11ma110.wiczii, Eng.(Sussex); 6, lectotype (BMNH-ZF 3652), X57; 7, several paratypes showing attach.ment, Xl7 ('1153).--FIG. 109, living speci.men, showing pseudopodia! network, X 70 (*1034). Normanina CusHMAN, 1928, *436, p. 7 [*Haliphy.sema confertttm NORMAN, 1878, ?1363, p. 279; OD]. Test free, consisting of central mass from which tubular portions radiate, individual tubes expanding distally into globular or conical masses; wall of tubular portion flexible, agglutinated, com.posed of medium-sized grains; apertures not ob.served in type-species. Rec., Atl.--F1c. 108,8. *N. conferta (NoRMAN), off Green!.; Ba, holotype (redrawn, BMNH-ZF 3657), entire specimen, X48; 8b, single individual, Xl05 (*2117). Nubeculariella AvERINTSEV, 1911, ?62, p. 8 [*N. birulai; OD J. Pseudochitinous tube with agglu.tinated coating, some grains so large as to sug.gest attachment to substratum; rounded aperture at somewhat flaring open end of tube. Rec., Arctic O.--F1c. 108,5. ?N. birulai; approx. X28 (?67\ Syringammina BRADY, 1883, *199, p. 159 [*S. fragilissima; OD] [=Arsyringammum RHUMBLER, 1913, *1572b, p. 345 (obj.) (nom. van.)]. Test free or attached, consisting of bulbous base with many branching or anastomosing tubes forming rounded mass; wall finely agglutinated; apertures at ends of tubular portions. Rec., N.Atl.(Faroe Channel).--F1c. 108,9. ?s. fragilissima; X3.3  (*2117).  "
"Schizammina HERoN-ALLEN & EARLAND, 1929, "	"*914a, p. 103 (*S. labyrinthica; SD CusHMAN, 1930, 0 447, p. 73] [=?Psammosiphon RHuM.BLER, 1911, *1572a, p. 43 (type, Nodosinella wedmoriensis CHAPMAN, 1895, *312, p. 320) (non Psammosiplzon VINE , 1882) ; Arpsammosi.phoum RHUMBLER, 1913, *1572b, p. 440 (nom . van.)]. Test free, consisting of nonseptate tube, dichotomously branching in single plane; wall finely agglutinated, exterior smoothly finished, interior labyrinthic but chamber cavity rather smoothly finished between pcre openings, exterior with few transverse wrinkles; apertures at open ends of tubular chamber. [Differs from Rhizam.mina in possessing a labyrinthic wall.) ?Trias. (Rhaet.), Eng.; Rec., Atl.--Fic. 107,6,7. *S. labyrinthica, Rec., off French Equat. Afr. (6), off Gabon (7); 6, lectotype (here designated and redrawn, BMNH-ZF 3653), X5.2 (*2117); 7, sectioned paratype, XlO (*2117).--FIG. 107,8-10. S. wedmoriensis (CHAPMAN), Trias. (Rhaet.) , Eng.; 8 ,9, ext. views, XS; JO, long. sec., XS (*1572a). Jullienella SCHLUMBERGER, 1889, *1653, p. 213 [""/. foetida; OD (M)) . Test large, flabelliform, or may have large fan-shaped portions extending in 2 directions from central attachment, margin produced into numerous tubules ; wall firm, fine.ly agglutinated , with much ferruginous cement, insoluble in hydrochloric acid, labyrinthic, surface transversely wrinkled, interior irregularly sub.divided by series of intermittent radiating ridges which are not reflected on exterior; interior sur.face with man y large pores which constrict within  wall to connect with smaller openings at outer surface ; apertures numerous, comprising small rounded openings at ends of tubular extensions along periphery; reddish-brown. Rec., Afr.(Li.beria).--F1c. 107,4,5. */. foetida, topotypes; 4, ext., showing flabelliform test, growth ridges, and apertures on tubular extensions, X 2 ; 5a,b, fragments of surface and int., with discontinuous radiating ridges and large pores, X I0 (*1166).  "
"Psammosphaera ScttULZE, 1875, "	"*1697, p. 113 [*P. f11sca; ODl [=Arpsammosphaernm RttuMBLER, 1913, *1572b, p. 347 (obj.) (11om. van.); Psam.mella RHUMBLER, 1935, *1574, p. 167 (type, P. frankei) (non LENDENFELD, 1887, nom. n11d. ); Pilalla RttniBLER, 1935, 0 1574, p. 150 (type, P. exig11a)]. Test free, single chamber, commonly globular; wall with thin pseudochitinous inner la yer and outer, firmly cemented agglutinated layer: aperture indefinite. [Separate generic names have been proposed for forms with varying pro.portions of pseudochitin and sand and with vary.ing grain size in the agglutinated wall. These are regarded here as of specific value only.] M .Ord..Rec., N.Am.-S.Arn.-Eu.-Australia-Antarctic.-.F1c. 110,J. ""P. f11sca, Rec., Atl. ; Ja,b, ext. views, with side broken to show interior, X30 (*2117 ). --Fie. 111 ,J. P. frankei (Rttu~IBLER) forma sphaeroides RHuMBLER, Rec., Ger.(Kieler Bucht); test broken open, showing remains of protoplasmic body, X50 (""1574).--Fic. 111,2. P. frankei (RHU~IBLER) forma ellipsoides (RHUMBLER), ext.,   "
"Amphifenestrella RHu~IBLER, 1935 "	". *1574, p. 169 [*A. wiesneri; OD]. Test free, discoida l, Aat sides of transpa rent pseudochitin, with peripheral area of agglutinated material; no definite apertures or tubular extensions of chamber. [Differs from Vanhoeffenella in lacking tubular ex tensions at angles of the test and in lacking definite aper.tures.] Rec., Ger.--F1c. 111,4. ?A. wiesneri, Kieler Bucht; peripheral agglutinated border and transpa rent pseudochitinous side through which protoplasmic contents can be seen, X50 (*1574). Blastammina EISENACK, 1932, '693a, p. 261 ['B. polymorpha; OD]. Test free, consisting of one or rarely more than one hemispherical rounded to subangular d amber, may be irregularly grooved or infolded; wall with brown, pseudochitinous layer sparsely covered with mosaic of sand grains; no distinct aperture. Sil., Eu.--Fic. 111 ,5-7.  (p. Cl95-Cl96).   C196 	Protista-Sarcodina  'B. polymorp/za, Sweden(Gotl.); 5, neotype, X67 (?694); 6, hemispherical form, X58 (?693a); 7, irregularly grooved, X 40 ('693a).   "
"Ceratammina IRELAND, 1939, "	"*976. p. 194 [?c. comucopia; OD]. Test free, unilocular, conical and slightly curved; wall agglutinated of fine. well-cemente<l san<l grains; aperture not apparent. L.Dev., N.Am.--F1e. 111,8. ?c. cornucopia, Helderberg., USA(Okla.); X40 (*976).  "
"Pseudastrorhiza EISENACK, 1932, "	"*693a, p. 259 r.P. silurica; OD] [=Pan?istellites 0. WETZEL, 1951, *2048, p. 113 (type, P. hospztalis) J. Test of ag.glutinated quartz grains, with numerous (com.monly 3-7) short, thick radiating arms, which are closed terminally, thus differing from Astrorlziza; aperture not visible. Ord.-Paleoc., Eu.(Ger.-Est.).N.Am.(Ill.).--F1e. 111,9. *P. silurica, Ord., Est.; neotype, X50 ( 0 694).--Fie. 111,JO. P. hospitalis (WETZEL), Paleoc. (Dan.), Ger., X 115 (?2048).  "
"Sorosphaera BRADY, 1879, "	"*!96a, p. 28 r?s. con.fusa; OD (M) J [ =Tlwramminopszs HAEUSLER, 1883, ?853, p. 69 (type, T. canaliculata); Arsoro.plzaernm RHUMBLER, 1913, *!572b, p. 347 (obj.) (nom. van.); Sorophaera RHUMBLER, 1913, *1572b, p. 347 (obj.) (nom. null.); Psammop!zax RHUMBLER in WIESNER, 1931, 0 2063, p. 80 (type, P. consociata); Arenosplzaera SHCHEDRI'1A, 1939, *1724, p. 95 (type, A. perforata); Danubica FRENTZEN, 1944, ?747, p. 325 (t1?pe, D. graci.lis)]. Test free, consisting of variously arranged globular chambers with no apparent order of de.velopment; wall agglutinated of rather coarse grains and loosely cemented so that tests are easily broken; no distinct aperture apparent, communi.cation of protoplasm with exterior probably be.tween loosely cemented grains. [Sorosphaera differs from Psammosphaera in consisting of numerous loosely joined chambers. The type specimen of S. conf11sa, in the British Museum (Natural History) has disintegrated since its orig.inal description, probably owing to its extremely fragile nature.] Sil.-Rec., Eu.-N.Am.-Arctic-Ant.arctic.--F1e. 110,2. ~s. confusa, Rec., Atl.; X22 (*2117).--Fie. 111,11. S. consociata (RHUMBLER), Rec., Antarctic; X23.5 (*2063). --FIG. 111,12. s. gracilis (FRENTZEN), Jur., Ger.; approx. X30 ( 0 747).--Fic. 111,13. S. rob11sta (FRENTZEN), Jur., Ger.; holotype, approx. X20 ( 0 747).--Fie. 111,14. S. perforata (SHcHEDRIKA), Rec., USSR(Kara Sea); 14a, 3.chambered specimen with last one broken; 14b, portion of test wall, X 40 ( *1724).  "
"Stegnammina 	MoREMAN, 1930, "	"*1309, p. 49 (*S. cylindrica; OD J [=Raibosammina MoREMAN, 1930, *1309, p. 50 (type, R. mica); Tlzekammina DuNN, 1942, *648, p. 326 (type, T. q11adra11g11.{aris)]. Test free, subcylindrical to angular, straight to curved; wJll thin, agglutinated, well cemented; without definite aperture. [Modifica. tions of chamber shape are not regarded as generic  in importance. Thekammina was defined for a  ,ubquadrangular species, but one species of Steg. 11ammina is triangular; hence, they are believed to  be congeneric. Raibosam mina was regarded as  being slightly irregular and in having a chamber  interior of varying diameter.] Ord.-Dev., N.Am.  --Fie. 110,3. 'S. cylindrica, Sil., USA(Okla.);  lectotype (here designated and redrawn), X 62  ('2117).--Fie. 110,4. s. mica (MORD!AN),  Ord., USA(Okla.); 4a,b, side and end view, X83  ( 02117 ).--Fie. 110,5. S. quadrangularis   (DUNN), Sil., USA(Ill.); X24 (*648). Storthosphaera ScHuLzE, 1875, *1697, p. 113 (*S.  albida; OD] f=Titanopsis DE FouN, 1881, *724,  p. 138 ( nom. nud.); Titanopsis DE FouN, 1887, *726a, p. 114 (type, T. irreg11laris); Arstortho.splzaerum RHUMBLER, 1913, ""1572b, p. 347 (obj.) ( nom. van.)]. Single, free, irregular chamber; wall finely arenaceous, loosely cemented; aperture indefinite. Rec., Atl.-Antarctic.--Fre. l l 1,15-17. *S. albida, off Norway; 15,16, si<le views, X20; 17, sectioned specimen showing wall thickness,  "
"Saccammina M. SARS in CARPENTER, 1869, "	"*274,   p.  61 [*S. splzaerica BRADY, 1871, *188, p. 183; SD CUSHMAN, 1928, *439, p. 72 (see LOEBLICH & TAPPAN, 1961, *1180)) [=Saccamina CARPEN? TER, 1869, *274, p. 61 (nom. null.); Saccammina   M.    x 47 (*2117).   "
"Brachysiphon 	CHAPMAN, 1906, "	"*319, p. 83 [""B. corbuliformis; OD] [=Arbrachysiph11m RHUM.BLER, 1913, *!572b, p. 351 (obj.) (nom. van.); Sacc11linella CRESPIN, 1958, *394, p. 43 (type,  p. 54 (type, Hyperammina(?) rudis PARR, 1942, *1425, p. 105)]. Test free, elongate, subcylindri.cal; wall agglutinated, incorporating small fora.minifers, shell fragments and mineral grains on pseudochitinous base or internal lining; aperture irregular opening at slightly constricted end of tube. [Brac/zysip/1011 differs from Saccammina in the elongate cylindrical form and from Lagenam.mi11a in having parallel sides and in lacking a    constricted  neck.  It  d iffe rs  from  Bathysiphon  in  corbuliformis,  Rec .,  N.Z.(ofl  Great  Ba rrier  Is.);   being  relativel y  short  and  cl osed  at  one  end. ]  2a,b,  , id e  and  top  views  of  topotype,  X28   Perm.-Rec.,  N .Z.-Australia.--FIG .  I I2,2.  ? B .  ( 0 211 7).-.FIG.  112 ,3.  B. rndis  (PARR),  Peni .. ,   Psammosphaero   Psammosphaera   Psammosphaera   Amphifenestreila   8  Cerotammina   Blastammina  Blastammina  Blastammina   15   Storthosohaera   Storthosphaero    Sorosphaera Storthosphaera   Protista-Sarcodina C198  Pelosinu: 9, Pilt1li11<1) (p. Cl% -C2 01).    Foraminiferida-Textulariina-A mmodiscacea  C199    <3  lb  le   Causia   Lagenammina    4   5  Ordovicina   Ordovicina       Pelosi no   Pelosi no Pelosi no  Pelosi no   9-13, Pelosina ) (p, C200-C202) .   C200 Protista-Sarcodina  0   2  c  0    "
"Causia RHU,!BLER, 1938, "	"? 1576. p. Iii [?c. in .judicata; OD]. Test free, unilocular. circular in plan, convex above and concave below, may have marginal flange; wall of pseudochitin with small amount of fine-grained agglutinated foreign mat.ter ; aperture small, rounded, at center of concave lower side. Rec., N .Sea.--F1c. 11 3,1. ?c. in.j11dica1a, Helgoland; l a, dorsal view, but with small rounded ventral aperture visible through semitransparent pseudochitinous wall, X200; lb, diagram. edge view of marginal flange, X 110; Jc, diagram. vert. sec., X llO (?!576).  "
"Lagenammina RHU,IBLER, 1911 "	", ? J572a, p. 92. 111 ['L. lag1111cula; OD(M)J [=Arlagenamnwm RHnlBLER, 1913, ? J572b, p. 348 (obj.) (11om . 1'a11.) J. Test single flask-shaped chamber; wall with pseuJochitinous inner layer, densely covered with agglutinated material; aperture terminal, produced on neck. Sil.-Rec., N.Am.-Atl.--F1c . 11 3,2. 'L. lag11nrnla, Rec., N.Atl., X218 (? J572a).  p. 328 ( tq1e, S . hirnspidata); Croneisella Di.;-.:-.:, 1<14 2. ?64~. p. 334 (type, C. typa): Gas1roa111111i11a Do-.:, 1942, ?64~. p. 335 ( type, G. williamsae)] . Test free, >ingle OYate to irregularly shaped chamber, wall with pseudochitinous base anJ ag.glutinated outer la,?er: one or more apertures at ends of slight projections. [Because of the domi.nantly pseudochitinous wall and thin agglutinated 13,?er. the fossil tests are common!,? somewhat Ji,.torted, suggesting that restricted generic limits should not be based on test shape alone.) Ord.-Sil..  :\T.Am.-Eu.--F1c. 11 3,3. ?o. oligost oma, Ord., fat. : X 95 ('694 ).--Fie. 113,4. 0. ci1ro11i.fon11a (E1sE-.:AcK), Ord., Baltic; hypotype, X H O (?694 ).--Fic. 11 3,5. 0. birnspidata (D UNN), Sil., CSA(Ill.): X35 (?648).--Fic. 113,6. 0. typa (lh;-.:-.:), Sil., USA(lll. ); X27 (?648).-.Fic. 113,7. 0. williamsae (Du:-i-.:), Sil., USA (Mo.); X 27 (?648).  "
"Pelosina BRADY, 1879, "	"?J96a, p. 30 [?P. variabilis; SD CcsH,IA-.:, 19 10, ?404a, p. 45) [=Arpelowm RHC,IBLER. 1913. ?J572b, p. 348 (obj.) (nom. 1?a11 .}: Pelosinella PARR, 1950, ? !429, p. 261 (type. P. hicaudata); Globosiphon AvNIMELECH, 1952. '63, p. 65 (type, Pelosina variahilis BRADY var. sphaerilornlum H OGLUND, 1947, *924, p. 6 1) ; .Hil/e11ina A'?"" 1""ELECH, 1952, ?63, p. 64 (type, Pelosi11a distoma MILLETT, 1904, *1284f, p. 608); Caudammina MONTANARO GALLITELLI, 1955,  ? !301. p. 178 (type, Saccammina? caudata MoN.H-.:ARo GALLITELLl, 1955, ?!301, p. 178)). Test free, subcylindrical, elongate, fusiform, nonseptate; wall thick, may be irregularly constricted, finely agglutinated, with thin, pseudochitinous base, well-preserved specimens with fine tubular exten.sions at either end; pseudochitinous lining may protrude farthest at one end; apertures at open end of tubular extension at one or both ends. Cret..Rec., Eu.-Sib.-Atl.-Pac.-Arctic-Antarctic.--Fic . 11 2,7; 113,9. ?P. variabilis, Rec., off N.Z. (112,7), off Sweden (113,9); 112,7, topotype,  P. bicaudata (PARR), Rec., off Kerguelen ls.; X44 (' 1429).--Fic. 113,10. P. splzaeriloculum Hoc.;Lc-.:D, Rec.. off Sweden; X Ii ('924 ).-.Fie. 113.1 I. P. distoma MILLETT, Rec., Malay Arch. : 11 a.b. >ide and a pert. views, X 115 ( ? tJK4i).--Fic. 11 3,12,13. P. caudata (MoN.TA""ARO G.\LLITELLI). Cret.. N.ltaly; I!, hnlmype,    should he referred to Saccammi.w.J   "
"Pelosphaera HERON-ALLEN & EARLAND, 1932, "	"0914d, p. 255 [""P. com11ta; OD(M)]. Test free, roughly spherical, with 2 or more pr(Jjecting fra.gile, Aexible, conical tubes of fine mud, equal in length to test diameter, repeatedly bifurcating near extremity. as in Pelosina, tubes commonly destroyed in <lead specimens, so that test resembl es Saccammina; wall with inner imperforate pseudo.chitinous layer and outer agglutinated layer; cement soft, Aexible on surface but firm and smooth internalh ? and may appear somewhat fibrous between grains in interior; aperture sin .gle, with <listincti Ye oral apparatus consisting of pseu<lochitinous entosolenian tube with inner gel.like capsule. Rec. , S.Georgia h.-Antarctic.--F1G.  112.5,6: 114,J ,.?. ? P. com11ta, off S.Georgia 1112,5,6), .-\ntarc tic (114,J,2): 112,5, lectotype (here designated, ""9H <l, pl. 2, fig. H , and re.drawn), X 10 (?2 117); 112.6, paratype (?914<l, pl. 2, fig. 15. redrawn), broken to show interior, X IO (?2117 ); 114,J, diagram. sec. through apertural region (a) and showing chitinous layer ( c I, entosolenian tube with gel-like oral capsule (o), X l55 (?890); 114,2, fragment of alcohol.presen?e<l test. showing fine-grained, repeatedly bifurcating. tubular extensions, X 12.5 (""653).   "
